"domain","Predictor","param1","p1_0","p1_val","param2","p2_0","p2_val","param3","p3_0","p3_val","Fixed_Effect","AIC","BIC","R_squared","Log_Likelihood","N_Observations","R_squared_CI_lower","R_squared_CI_upper"
"foods","multimodaldelta","alpha","0","8","rise","0","75","fall","0","0",0.329887596039006,1255.12978630867,1278.60280337075,0.278392538906318,-623.564893154334,2613,0.264415738134832,0.326038726474423
"foods","multimodaldelta","alpha","0","8","rise","0","75","fall","0","25",0.334855982477179,1210.18728802016,1233.66030508225,0.29389751694369,-601.093644010082,2613,0.282557993492443,0.342127219238037
"foods","multimodaldelta","alpha","0","8","rise","0","75","fall","0","5",0.329894394252111,1206.58266277299,1230.05567983507,0.294468470744926,-599.291331386496,2613,0.277001814886337,0.343370089419972
"foods","multimodaldelta","alpha","0","8","rise","0","75","fall","0","75",0.326079437026708,1207.57579258473,1231.04880964681,0.297252011217828,-599.787896292365,2613,0.282117586733997,0.346655851827586
"foods","multimodaldelta","alpha","0","8","rise","0","75","fall","1","0",0.312892412079394,1265.33303925865,1288.80605632074,0.284704226646934,-628.666519629327,2613,0.272278559181207,0.332074496144673
"foods","multimodaldelta","alpha","0","8","rise","1","0","fall","0","0",0.352873086765413,1239.69761333341,1263.17063039549,0.282769277561394,-615.848806666706,2613,0.268901459351353,0.330786213158975
"foods","multimodaldelta","alpha","0","8","rise","1","0","fall","0","25",0.359322026067519,1183.51034146573,1206.98335852781,0.301968023027746,-587.755170732865,2613,0.286976871884488,0.35053097800355
"foods","multimodaldelta","alpha","0","8","rise","1","0","fall","0","5",0.354096922616724,1162.84497094539,1186.31798800747,0.307764265843691,-577.422485472696,2613,0.295780283390803,0.354334397994789
"foods","multimodaldelta","alpha","0","8","rise","1","0","fall","0","75",0.34755477205931,1151.97074835665,1175.44376541873,0.314625555842064,-571.985374178325,2613,0.299290350072479,0.366208004964765
"foods","multimodaldelta","alpha","0","8","rise","1","0","fall","1","0",0.331862671294291,1194.06717283522,1217.5401898973,0.304702538957546,-593.033586417609,2613,0.289360924440256,0.354559762008616
"foods","multimodaldelta","alpha","0","9","rise","0","0","fall","0","0",0.264608069120882,1433.30300727413,1456.77602433621,0.221802730801743,-712.651503637065,2613,0.211532005004582,0.270738947050809
"foods","multimodaldelta","alpha","0","9","rise","0","0","fall","0","25",0.280084230427874,1380.69712987885,1404.17014694093,0.236588824159985,-686.348564939425,2613,0.225694663029427,0.284951454200585
"foods","multimodaldelta","alpha","0","9","rise","0","0","fall","0","5",0.293696166508312,1350.02712055054,1373.50013761263,0.244651766407182,-671.013560275272,2613,0.233799654624249,0.29318229988396
